Zeit,Name/Nation,Nation,Ort,Jahr
03:40:22,Violet Percy,GBR,London ,1926
03:37:07,Merry Lepper,USA,Culver City ,1963
03:27:45,Dale Greig,GBR,Ryde/GBR ,1964
03:19:33,Mildred Sampson,NZL,Auckland,1964
03:15:22,Maureen Wilton,CAN,Toronto,1967
03:07:26,Anni Pede-Erdkamp,GER,Waldniel/GER ,1967
03:02:53,Caroline Walker,USA,Seaside/USA ,1970
03:01:42,Elizabeth Bonner,USA,Philadelphia ,1971
03:00:35,Sara Mae Berman,USA,Brockton/USA,1971
02:46:30,Adrienne Beames,AUS,Werribee/USA,1971
02:46:24,Chantal Langlacé,FRA,Neuf Brisach/FRA ,1974
02:43:54,Jacqueline Hansen,USA,Culver City/ USA,1974
02:42:24,Liane Winter,GER,Boston,1975
02:40:15,Christa Vahlensieck,GER,Dulmen/GER,1975
02:35:16,Chantal Langlacé,FRA,Oyarzun/ESP,1977
02:34:48,Christa Vahlensieck,GER,Berlin-West,1977
02:32:30,Grete Waitz,NOR,New York,1978
02:27:33,Grete Waitz,NOR,New York ,1979
02:25:42,Grete Waitz,NOR,New York,1980
02:25:29,Allison Roe,NZL,New York,1981
02:22:43,Joan Benoit Samuelson,USA,Boston,1983
02:21:06,Ingrid Kristiansen,NOR,London,1985
02:20:47,Tegla Loroupe,KEN,Rotterdam,1998
02:20:43,Tegla Loroupe,KEN,Berlin ,1999
02:19:46,Naoko Takahashi,JPN,Berlin ,2001
02:18:47,Catherine Ndereba,KEN,Chicago ,2001
02:17:18,Paula Radcliffe,GBR,Chicago ,2002
02:15:25,Paula Radcliffe,GBR,London ,2003
,,,,
Quelle: http://unique-sportstime.de/,,,,
