Year,Men,Women,Total
2016,26807,9247,36054
2015,27897,8923,36820
2014,22209,6790,28999
2013,27549,8995,36544
2012,26450,7898,34348
2011,25576,7421,32997
2010,26410,7215,33625
2009,27934,7060,34994
2008,28357,7429,35786
2007,25994,6492,32486
2006,24094,6088,30182
2005,24501,5872,30373
2004,22800,5222,28022
2003,25108,5601,30709
2002,20880,4406,25286
2001,21669,4123,25792
2000,19332,3546,22879
1999,16537,2592,19129
1998,17795,3209,21004
1997,13120,1862,14982
1996,14489,2040,16529
1995,11682,1406,13088
1994,10980,1283,12263
1993,12586,1521,14107
1992,11918,1307,13225
1991,13456,1393,14849
1990,20415,2391,22806
1989,12233,1200,13433
1988,11986,1131,13117
1987,11651,1023,12674
1986,10574,876,11450
1985,9146,664,9810
1984,6875,422,7297
1983,4886,235,5121
1982,3318,130,3448
1981,2418,149,2567
1980,276,18,294
1979,207,15,222
1978,187,10,197
1977,219,11,230
1976,296,15,311
1975,232,4,236
1974,234,10,244
