RANK,MARK,COMPETITOR,DOB,NAT,POS,VENUE,DATE1,DATE2
1,02:22:12,Eri YAMAGUGHI,1973,JPN,1,Tokyo,1999,1999
2,02:23:22,Joyce CHEPCHUMBA,1970,KEN,1,London,1999,1999
3,02:23:24,Lidia SIMON,1973,ROU,1,Osaka,1999,1999
4,02:23:25,Fatuma ROBA,1973,ETH,1,"Boston, MA",1999,1999
5,02:23:58,Marleen RENDERS,1968,BEL,2,Berlin,1999,1999
6,02:24:06,Adriana FERNÁNDEZ,1971,MEX,2,London,1999,1999
7,02:24:35,Katrin DÖRRE-HEINIG,1961,GER,1,Hamburg,1999,1999
8,02:25:09,Maria Manuela MACHADO,1963,POR,3,London,1999,1999
9,02:25:40,Esther Wanjiru MAINA,1977,KEN,3,Osaka,1999,1999
10,02:25:52,Nicole CARROLL,1972,AUS,4,London,1999,1999
1,02:21:33,Catherine NDEREBA,1972,KEN,1,"Chicago, IL",2000,2000
2,02:22:19,Naoko TAKAHASHI,1972,JPN,1,Nagoya,2000,2000
3,02:22:54,Lidia SIMON,1973,ROU,1,Osaka,2000,2000
4,02:22:56,Harumi HIROYAMA,1968,JPN,2,Osaka,2000,2000
5,02:23:31,Esther Wanjiru MAINA,1977,KEN,3,Osaka,2000,2000
6,02:23:43,Marleen RENDERS,1968,BEL,1,Paris,2000,2000
7,02:24:02,Joyce CHEPCHUMBA,1970,KEN,1,Tokyo,2000,2000
8,02:24:36,Reiko TOSA,1976,JPN,2,Nagoya,2000,2000
9,02:24:47,Elfenesh ALEMU,1975,ETH,4,Osaka,2000,2000
10,02:25:14,Kayoko OBATA,1971,JPN,5,Osaka,2000,2000
1,02:23:11,Yoko SHIBUI,1979,JPN,1,Osaka,2001,2001
2,02:24:04,Svetlana ZAKHAROVA,1970,RUS,2,London,2001,2001
3,02:25:29,Irina TIMOFEEVA,1970,RUS,2,Tokyo,2001,2001
4,02:26:10,Tegla LOROUPE,1973,KEN,8,London,2001,2001
5,02:26:33,Maura VICECONTE,1967,ITA,1,Praha,2001,2001
6,02:26:33,Yoko SHIBUI,1979,JPN,4,Edmonton (Commonwealth Stadium),2001,2001
7,02:26:58,Deena KASTOR,1973,USA,7,"New York, NY",2001,2001
8,02:27:22,Mayumi ICHIKAWA,1967,JPN,7,Nagoya,2001,2001
9,02:27:56,Lornah KIPLAGAT,1974,KEN,4,"Boston, MA",2001,2001
10,02:28:03,Tegla LOROUPE,1973,KEN,2,Berlin,2001,2001
1,02:17:18,Paula RADCLIFFE,1973,GBR,1,"Chicago, IL",2002,2002
2,02:19:26,Catherine NDEREBA,1972,KEN,2,"Chicago, IL",2002,2002
3,02:20:43,Margaret OKAYO,1976,KEN,1,"Boston, MA",2002,2002
4,02:21:21,Yingjie SUN,1979,CHN,1,Beijing,2002,2002
5,02:21:22,Yoko SHIBUI,1979,JPN,3,"Chicago, IL",2002,2002
6,02:21:31,Svetlana ZAKHAROVA,1970,RUS,4,"Chicago, IL",2002,2002
7,02:21:49,Naoko TAKAHASHI,1972,JPN,1,Berlin,2002,2002
8,02:22:20,Gete WAMI,1974,ETH,1,Amsterdam,2002,2002
9,02:22:33,Lyudmila PETROVA,1968,RUS,3,London,2002,2002
10,02:22:46,Reiko TOSA,1976,JPN,4,London,2002,2002
1,02:15:25,Paula RADCLIFFE,1973,GBR,1,London,2003,2003
2,02:19:39,Yingjie SUN,1979,CHN,1,Beijing,2003,2003
3,02:19:55,Catherine NDEREBA,1972,KEN,2,London,2003,2003
4,02:21:16,Deena KASTOR,1973,USA,3,London,2003,2003
5,02:21:18,Mizuki NOGUCHI,1978,JPN,1,Osaka,2003,2003
6,02:21:45,Masako CHIBA,1976,JPN,2,Osaka,2003,2003
7,02:21:51,Naoko SAKAMOTO,1980,JPN,3,Osaka,2003,2003
8,02:22:22,Lornah KIPLAGAT,1974,KEN,4,Osaka,2003,2003
9,02:22:31,Margaret OKAYO,1976,KEN,1,"New York, NY",2003,2003
10,02:23:07,Svetlana ZAKHAROVA,1970,RUS,1,"Chicago, IL",2003,2003
1,02:19:41,Yoko SHIBUI,1979,JPN,1,Berlin,2004,2004
2,02:22:35,Margaret OKAYO,1976,KEN,1,London,2004,2004
3,02:23:10,Paula RADCLIFFE,1973,GBR,1,"New York, NY",2004,2004
4,02:23:13,Susan Chepkemei KAPKAMA,1975,KEN,2,"New York City, NY",2004,2004
5,02:23:26,Hiromi OMINAMI,1975,JPN,2,Berlin,2004,2004
6,02:23:28,Chunxiu ZHOU,1978,CHN,1,Xiamen,2004,2004
7,02:23:45,Constantina DITA,1970,ROU,1,"Chicago, IL",2004,2004
8,02:23:57,Reiko TOSA,1976,JPN,1,Nagoya,2004,2004
9,02:24:11,Yingjie SUN,1979,CHN,1,Beijing,2004,2004
10,02:24:32,Salina Jebet KOSGEI,1976,KEN,1,Paris,2004,2004
1,02:17:42,Paula RADCLIFFE,1973,GBR,1,London,2005,2005
2,02:19:12,Mizuki NOGUCHI,1978,JPN,1,Berlin,2005,2005
3,02:21:01,Yingjie SUN,1979,CHN,1,Beijing,2005,2005
4,02:21:11,Chunxiu ZHOU,1978,CHN,2,Beijing,2005,2005
5,02:21:25,Deena KASTOR,1973,USA,1,"Chicago, IL",2005,2005
6,02:21:30,Constantina DITA,1970,ROU,2,"Chicago, IL",2005,2005
7,02:22:01,Catherine NDEREBA,1972,KEN,2,Helsinki (Olympic Stadium),2005,2005
8,02:22:56,Jelena PROKOPCUKA,1976,LAT,1,Osaka,2005,2005
9,02:23:30,Derartu TULU,1972,ETH,4,Helsinki (Olympic Stadium),2005,2005
10,02:23:59,Mari OZAKI,1975,JPN,2,Osaka,2005,2005
1,02:19:36,Deena KASTOR,1973,USA,1,London,2006,2006
2,02:19:51,Chunxiu ZHOU,1978,CHN,1,Seoul,2006,2006
3,02:20:42,Berhane ADERE,1973,ETH,1,"Chicago, IL",2006,2006
4,02:20:47,Galina BOGOMOLOVA,1977,RUS,2,"Chicago, IL",2006,2006
5,02:21:29,Lyudmila PETROVA,1968,RUS,2,London,2006,2006
6,02:21:34,Gete WAMI,1974,ETH,1,Berlin,2006,2006
7,02:21:46,Susan Chepkemei KAPKAMA,1975,KEN,3,London,2006,2006
8,02:22:36,Benita WILLIS,1979,AUS,3,"Chicago, IL",2006,2006
9,02:22:59,Madaí PÉREZ,1980,MEX,4,"Chicago, IL",2006,2006
10,02:23:22,Salina Jebet KOSGEI,1976,KEN,2,Berlin,2006,2006
1,02:20:38,Chunxiu ZHOU,1978,CHN,1,London,2007,2007
2,02:21:37,Mizuki NOGUCHI,1978,JPN,1,Tokyo,2007,2007
3,02:21:45,Gete WAMI,1974,ETH,2,London,2007,2007
4,02:23:09,Paula RADCLIFFE,1973,GBR,1,"New York City, NY",2007,2007
5,02:23:12,Yanan WEI,1981,CHN,1,Seoul,2007,2007
6,02:23:31,Salina Jebet KOSGEI,1976,KEN,2,Tokyo,2007,2007
7,02:23:48,Yumiko HARA,1982,JPN,1,Osaka,2007,2007
8,02:23:55,Constantina DITA,1970,ROU,3,London,2007,2007
9,02:24:39,Mari OZAKI,1975,JPN,2,Osaka,2007,2007
10,02:24:43,Yuri KANO,1978,JPN,3,Osaka,2007,2007
1,02:19:19,Irina MIKITENKO,1972,GER,1,Berlin,2008,2008
2,02:21:31,Askale TAFA,1984,ETH,2,Berlin,2008,2008
3,02:22:38,Yingying ZHANG,1990,CHN,1,Xiamen,2008,2008
4,02:22:42,Berhane ADERE,1973,ETH,1,Dubai,2008,2008
5,02:22:53,Galina BOGOMOLOVA,1977,RUS,1,Roma,2008,2008
6,02:23:09,Bezunesh BEKELE,1983,ETH,2,Dubai,2008,2008
7,02:23:27,Xue BAI,1988,CHN,2,Xiamen,2008,2008
8,02:23:30,Yoshimi OZAKI,1981,JPN,1,Tokyo,2008,2008
9,02:23:56,Paula RADCLIFFE,1973,GBR,1,"New York City, NY",2008,2008
10,02:24:14,Irina TIMOFEEVA,1970,RUS,1,Hamburg,2008,2008
1,02:22:11,Irina MIKITENKO,1972,GER,1r1,London,2009,2009
2,02:23:12,Mara YAMAUCHI,1973,GBR,2r1,London,2009,2009
3,02:23:42,Yoko SHIBUI,1979,JPN,1,Osaka,2009,2009
4,02:24:02,Bezunesh BEKELE,1983,ETH,1,Dubai,2009,2009
5,02:24:18,Teyba ERKESSO,1982,ETH,1,"Houston, TX",2009,2009
6,02:24:24,Liliya SHOBUKHOVA,1977,RUS,3r1,London,2009,2009
7,02:24:42,Atsede BAYSA,1987,ETH,1,Paris,2009,2009
8,02:24:47,Atsede HABTAMU,1987,ETH,1,Berlin,2009,2009
9,02:25:02,Aselefech MERGIA,1985,ETH,2,Paris,2009,2009
10,02:25:06,Svetlana ZAKHAROVA,1970,RUS,4r1,London,2009,2009
1,02:22:04,Atsede BAYSA,1987,ETH,1,Paris,2010,2010
2,02:22:38,Aselefech MERGIA,1985,ETH,1r1,London,2010,2010
3,02:22:43,Sharon Jemutai CHEROP,1984,KEN,1,Toronto,2010,2010
4,02:22:44,Tirfi TSEGAYE,1984,ETH,2,Toronto,2010,2010
5,02:23:06,Merima MOHAMMED,1992,ETH,3,Toronto,2010,2010
6,02:23:17,Bezunesh BEKELE,1983,ETH,2r1,London,2010,2010
7,02:23:25,Caroline Cheptanui KILEL,1981,KEN,1,Frankfurt,2010,2010
8,02:23:44,Dire TUNE,1985,ETH,2,Frankfurt,2010,2010
9,02:23:53,Teyba ERKESSO,1982,ETH,1,"Houston, TX",2010,2010
10,02:23:58,Aberu KEBEDE,1986,ETH,1,Berlin,2010,2010
1,02:19:19,Mary Jepkosgei KEITANY,1982,KEN,1r1,London,2011,2011
2,02:19:44,Florence Jebet KIPLAGAT,1987,KEN,1,Berlin,2011,2011
3,02:20:46,Edna Ngeringwony KIPLAGAT,1979,KEN,2r1,London,2011,2011
4,02:21:59,Mamitu DASKA,1983,ETH,1,Frankfurt,2011,2011
5,02:22:08,Tiki GELANA,1987,ETH,1,Amsterdam,2011,2011
6,02:22:09,Ejegayehu DIBABA,1982,ETH,1,"Chicago, IL",2011,2011
7,02:22:18,Irina MIKITENKO,1972,GER,2,Berlin,2011,2011
8,02:22:34,Lydia CHEROMEI,1977,KEN,1,Praha,2011,2011
9,02:22:43,Koren JELELA,1987,ETH,1,Toronto,2011,2011
10,02:22:45,Aselefech MERGIA,1985,ETH,1,Dubai,2011,2011
1,02:18:37,Mary Jepkosgei KEITANY,1982,KEN,1r1,London,2012,2012
2,02:18:58,Tiki GELANA,1987,ETH,1,Rotterdam,2012,2012
3,02:19:31,Aselefech MERGIA,1985,ETH,1,Dubai,2012,2012
4,02:19:34,Lucy Wangui KABUU,1984,KEN,2,Dubai,2012,2012
5,02:19:50,Edna Ngeringwony KIPLAGAT,1979,KEN,2r1,London,2012,2012
6,02:19:52,Mare DIBABA,1989,ETH,3,Dubai,2012,2012
7,02:20:14,Priscah JEPTOO,1984,KEN,3r1,London,2012,2012
8,02:20:30,Bezunesh BEKELE,1983,ETH,4,Dubai,2012,2012
8,02:20:30,Aberu KEBEDE,1986,ETH,1,Berlin,2012,2012
10,02:20:57,Florence Jebet KIPLAGAT,1987,KEN,4r1,London,2012,2012
1,02:19:57,Rita Jeptoo SITIENEI,1981,KEN,1,"Chicago, IL",2013,2013
2,02:20:15,Priscah JEPTOO,1984,KEN,1r1,London,2013,2013
3,02:20:48,Jemima Jelagat SUMGONG,1984,KEN,2,"Chicago, IL",2013,2013
4,02:21:06,Feyse TADESE,1988,ETH,1,Paris,2013,2013
5,02:21:13,Florence Jebet KIPLAGAT,1987,KEN,1,Berlin,2013,2013
6,02:21:32,Edna Ngeringwony KIPLAGAT,1979,KEN,2r1,London,2013,2013
7,02:22:28,Sharon Jemutai CHEROP,1984,KEN,2,Berlin,2013,2013
8,02:22:34,Caroline Cheptanui KILEL,1981,KEN,1,Frankfurt,2013,2013
9,02:23:00,Flomena Chepchirchir CHUMBA,1981,KEN,2,Frankfurt,2013,2013
10,02:23:01,Berhane DIBABA,1993,ETH,3,Frankfurt,2013,2013
1,02:20:18,Tirfi TSEGAYE,1984,ETH,1,Berlin,2014,2014
2,02:20:21,Edna Ngeringwony KIPLAGAT,1979,KEN,1r1,London,2014,2014
3,02:20:24,Florence Jebet KIPLAGAT,1987,KEN,2r1,London,2014,2014
4,02:20:27,Feyse TADESE,1988,ETH,2,Berlin,2014,2014
5,02:20:35,Tirunesh DIBABA,1985,ETH,3r1,London,2014,2014
6,02:21:14,Shalane FLANAGAN,1981,USA,3,Berlin,2014,2014
7,02:21:36,Mare DIBABA,1989,ETH,1,Xiamen,2014,2014
8,02:21:52,Tigist TUFA,1987,ETH,1,Shanghai,2014,2014
9,02:22:21,Aberu KEBEDE,1986,ETH,1,Frankfurt,2014,2014
10,02:22:30,Berhane DIBABA,1993,ETH,2,Tokyo,2014,2014
1,02:19:25,Gladys Cherono KIPRONO,1983,KEN,1,Berlin,2015,2015
2,02:19:52,Mare DIBABA,1989,ETH,1,Xiamen,2015,2015
3,02:20:02,Aselefech MERGIA,1985,ETH,1,Dubai,2015,2015
4,02:20:21,Lucy Wangui KABUU,1984,KEN,3,Dubai,2015,2015
5,02:20:48,Aberu KEBEDE,1986,ETH,2,Berlin,2015,2015
6,02:20:59,Shure DEMISE,1996,ETH,4,Dubai,2015,2015
7,02:21:56,Mulu SEBOKA,1984,ETH,6,Dubai,2015,2015
8,02:22:08,Eunice Jepkirui KIRWA,1981,BRN,1,Nagoya,2015,2015
9,02:22:48,Sairi MAEDA,1991,JPN,2,Nagoya,2015,2015
10,02:22:51,Tadelech BEKELE,1991,ETH,7,Dubai,2015,2015
1,02:19:41,Tirfi TSEGAYE,1984,ETH,1,Dubai,2016,2016
2,02:20:45,Aberu KEBEDE,1986,ETH,1,Berlin,2016,2016
3,02:20:48,Amane BERISO,1991,ETH,2,Dubai,2016,2016
4,02:21:27,Helah Jelagat KIPROP,1985,KEN,1,Tokyo,2016,2016
5,02:21:32,Florence Jebet KIPLAGAT,1987,KEN,1,"Chicago, IL",2016,2016
6,02:21:51,Amane GOBENA,1986,ETH,2,Tokyo,2016,2016
7,02:21:54,Meselech MELKAMU,1985,ETH,1,Hamburg,2016,2016
8,02:22:17,Kayoko FUKUSHI,1982,JPN,1,Osaka,2016,2016
9,02:22:36,Edna Ngeringwony KIPLAGAT,1979,KEN,3,Tokyo,2016,2016
10,02:22:40,Eunice Jepkirui KIRWA,1984,BRN,1,Nagoya,2016,2016
1,02:17:01,Mary Jepkosgei KEITANY,1982,KEN,1r1,London,2017,2017
2,02:17:56,Tirunesh DIBABA,1985,ETH,2r1,London,2017,2017
3,02:19:47,Sarah CHEPCHIRCHIR,1984,KEN,1,Tokyo,2017,2017
4,02:20:55,Purity Cherotich RIONORIPO,1983,KEN,1,Paris,2017,2017
5,02:20:59,Agnes Jeruto BARSOSIO,1983,KEN,2,Paris,2017,2017
6,02:21:17,Eunice Jepkirui KIRWA,1984,BRN,1,Nagoya,2017,2017
7,02:21:19,Berhane DIBABA,1993,ETH,2,Tokyo,2017,2017
8,02:21:22,Flomena Cheyech DANIEL,1982,KEN,3,Paris,2017,2017
9,02:21:36,Yuka ANDO,1984,JPN,2,Nagoya,2017,2017
10,02:21:37,Visiline JEPKESHO,1989,KEN,4,Paris,2017,2017
