date,m_winner,m_country,m_time,f_winner,f_country,f_time,m_starter,f_starter,total_starter,m_finisher,f_finisher,total_finisher
1970,Gary Muhrcke,(USA),02:31:39,---[22],,,126,1,127,55,0,55
1971,Norm Higgins,(USA),02:22:54,Beth Bonner,(USA),02:55:22,240,5,245,153,4,157
1972,Sheldon Karlin,(USA),02:27:52,Nina Kuscsik,(USA),03:08:41,278,6,284,92,2,94
1973,Tom Fleming,(USA),02:21:55,Nina Kuscsik,(USA),02:57:08,394,12,406,277,5,282
1974,Norbert Sander,(USA),02:26:31,Kathrine Switzer,(USA),03:07:29,501,26,527,250,9,259
1975,Tom Fleming,(USA),02:19:27,Kim Merritt,(USA),02:46:14,490,44,534,303,36,339
1976,Bill Rodgers,(USA),02:10:09,Miki Gorman,(USA),02:39:11,2002,88,2090,1486,63,1549
1977,Bill Rodgers,(USA),02:11:20,Miki Gorman,(USA),02:43:10,4595,228,4823,3522,179,3701
1978,Bill Rodgers,(USA),02:12:12,Grete Waitz,(NOR),02:32:30,8937,938,9875,7819,769,8588
1979,Bill Rodgers,(USA),02:11:42,Grete Waitz,(NOR),02:27:33,10207,1326,11533,9274,1203,10477
1980,Alberto Salazar,(USA),02:09:41,Grete Waitz,(NOR),02:25:42,12050,1962,14012,10890,1622,12512
1981,Alberto Salazar,(USA),02:08:13,Allison Roe,(NZL),02:25:29,12467,2029,14496,11466,1757,13223
1982,Alberto Salazar,(USA),02:09:29,Grete Waitz,(NOR),02:27:14,12233,2075,14308,11700,1899,13599
1983,Rod Dixon,(NZL),02:08:59,Grete Waitz,(NOR),02:27:00,12838,2355,15193,12343,2205,14548
1984,Orlando Pizzolato,(ITA),02:14:53,Grete Waitz,(NOR),02:29:30,12195,2395,14590,12196,2394,14590
1985,Orlando Pizzolato,(ITA),02:11:34,Grete Waitz,(NOR),02:28:34,14099,2606,16705,13403,2478,15881
1986,Gianni Poli,(ITA),02:11:06,Grete Waitz,(NOR),02:28:06,17016,3486,20502,16366,3323,19689
1987,Ibrahim Hussein,(KEN),02:11:01,Priscilla Welch,(GBR),02:30:17,18604,3919,22523,17555,3689,21244
1988,Steve Jones,(GBR),02:08:20,Grete Waitz,(NOR),02:28:07,19310,4153,23463,18431,3974,22405
1989,Juma Ikangaa,(TAN),02:08:01,Ingrid Kristiansen,(NOR),02:25:30,20247,4749,24996,19971,4688,24659
1990,Douglas Wakiihuri,(KEN),02:12:39,Wanda Panfil,(POL),02:30:45,20285,4727,25012,19274,4500,23774
1991,Salvador García,(MEX),02:09:28,Liz McColgan,(GBR),02:27:32,21520,5380,26900,20593,5204,25797
1992,Willie Mtolo,(RSA),02:09:29,Lisa Martin-Ondieki,(AUS),02:24:40,23047,5609,28656,22356,5441,27797
