date,m_winner,m_country,m_time,f_winner,f_country,f_time,marathon
1970,Gary Muhrcke,USA,02:31:39,NaN,NaN,NaN,New York
1971,Norm Higgins,USA,02:22:54,Beth Bonner,USA,02:55:22,New York
1972,Sheldon Karlin,USA,02:27:52,Nina Kuscsik,USA,03:08:41,New York
1973,Tom Fleming,USA,02:21:55,Nina Kuscsik,USA,02:57:08,New York
1974,Norbert Sander,USA,02:26:31,Kathrine Switzer,USA,03:07:29,New York
1975,Tom Fleming,USA,02:19:27,Kim Merritt,USA,02:46:14,New York
1976,Bill Rodgers,USA,02:10:09,Miki Gorman,USA,02:39:11,New York
1977,Bill Rodgers,USA,02:11:20,Miki Gorman,USA,02:43:10,New York
1978,Bill Rodgers,USA,02:12:12,Grete Waitz,NOR,02:32:30,New York
1979,Bill Rodgers,USA,02:11:42,Grete Waitz,NOR,02:27:33,New York
1980,Alberto Salazar,USA,02:09:41,Grete Waitz,NOR,02:25:42,New York
1981,Alberto Salazar,USA,02:08:13,Allison Roe,NZL,02:25:29,New York
1982,Alberto Salazar,USA,02:09:29,Grete Waitz,NOR,02:27:14,New York
1983,Rod Dixon,NZL,02:08:59,Grete Waitz,NOR,02:27:00,New York
1984,Orlando Pizzolato,ITA,02:14:53,Grete Waitz,NOR,02:29:30,New York
1985,Orlando Pizzolato,ITA,02:11:34,Grete Waitz,NOR,02:28:34,New York
1986,Gianni Poli,ITA,02:11:06,Grete Waitz,NOR,02:28:06,New York
1987,Ibrahim Hussein,KEN,02:11:01,Priscilla Welch,GBR,02:30:17,New York
1988,Steve Jones,GBR,02:08:20,Grete Waitz,NOR,02:28:07,New York
1989,Juma Ikangaa,TAN,02:08:01,Ingrid Kristiansen,NOR,02:25:30,New York
1990,Douglas Wakiihuri,KEN,02:12:39,Wanda Panfil,POL,02:30:45,New York
1991,Salvador García,MEX,02:09:28,Liz McColgan,GBR,02:27:32,New York
1992,Willie Mtolo,RSA,02:09:29,Lisa Martin-Ondieki,AUS,02:24:40,New York
1993,Andrés Espinosa,MEX,02:10:04,Uta Pippig,GER,02:26:24,New York
1994,Germán Silva,ITA,02:11:21,Tegla Loroupe,KEN,02:27:37,New York
1995,Germán Silva,ITA,02:11:00,Tegla Loroupe,KEN,02:28:06,New York
1996,Giacomo Leone,ITA,02:09:54,Anuța Cătună,ROU,02:28:18,New York
1997,John Kagwe,KEN,02:08:12,Franziska Rochat-Moser,SUI,02:28:43,New York
