RANK,MARK,COMPETITOR,DOB,NAT,POS,VENUE,DATE1,DATE2
1,02:05:42,Khalid KHANNOUCHI,1971,MAR,1,"Chicago, IL",1999,1999
2,02:06:16,Moses TANUI,1965,KEN,2,"Chicago, IL",1999,1999
3,02:06:33,Gert THYS,1971,RSA,1,Tokyo,1999,1999
4,02:06:44,Josephat KIPRONO,1973,KEN,1,Berlin,1999,1999
5,02:06:47,Fred Kiprop KIPTUM,1974,KEN,1,Amsterdam,1999,1999
6,02:06:49,Tesfaye JIFAR,1976,ETH,2,Amsterdam,1999,1999
7,02:06:50,William KIPLAGAT,1972,KEN,3,Amsterdam,1999,1999
8,02:06:57,Takayuki INUBUSHI,1972,JPN,2,Berlin,1999,1999
8,02:06:57,Tesfaye TOLA,1974,ETH,4,Amsterdam,1999,1999
10,02:07:09,Japhet Kosgei KIPKORIR,1968,KEN,1,Rotterdam,1999,1999
1,02:06:36,António PINTO,1966,POR,1,London,2000,2000
2,02:06:51,Atsushi FUJITA,1976,JPN,1,Fukuoka,2000,2000
3,02:07:01,Khalid KHANNOUCHI,1971,USA,1,"Chicago, IL",2000,2000
4,02:07:15,Japhet Kosgei KIPKORIR,1968,KEN,1,Tokyo,2000,2000
5,02:07:20,Bong-ju LEE,1970,KOR,2,Tokyo,2000,2000
6,02:07:29,Josephat KIPRONO,1973,KEN,2,"Chicago, IL",2000,2000
7,02:07:33,Abdelkader EL MOUAZIZ,1969,MAR,2,London,2000,2000
8,02:07:42,Simon BIWOTT,1970,KEN,1,Berlin,2000,2000
9,02:07:47,Antoni PEÑA,1970,ESP,2,Berlin,2000,2000
10,02:07:47,Moses TANUI,1965,KEN,3,"Chicago, IL",2000,2000
1,02:06:50,Josephat KIPRONO,1973,KEN,1,Rotterdam,2001,2001
2,02:07:02,Driss EL HIMER,1974,FRA,1,Amsterdam,2001,2001
3,02:07:11,Abdelkader EL MOUAZIZ,1969,MAR,1,London,2001,2001
4,02:07:18,Kenneth Kipngetich CHERUIYOT,1974,KEN,2,Rotterdam,2001,2001
5,02:07:43,Tesfaye JIFAR,1976,ETH,1,"New York, NY",2001,2001
